,NodeId,lat,lng,8/11/2021 1100,150test,8/12 1100,150test
1,33861A,38.49630249,-106.0186932,,,,
2,338629,38.49203679,-106.0174704,,,,
3,33885A,38.50111313,-106.0175602,,,,
4,338FB0,38.49194889,-106.0195614,,,,
5,3398D3,38.49950232,-106.0210082,,,,
6,33A63B,38.49938348,-106.0186962,,,,
7,33A73F,38.5041719,-106.0222302,,,,
8,33A85E,38.50105652,-106.0220948,,,,
9,33AF24,38.49214367,-106.0222204,,,,
10,33B1EF,38.49791143,-106.0220708,,,,
11,33B1FE,38.497806,-106.0175548,,,,
12,33B32D,38.49642939,-106.0209027,,,,
13,33BCB0,38.49305429,-106.0209607,,,,
14,33BCF5,38.49490203,-106.0204955,,,,
15,33BE76,38.49478305,-106.0175088,,,,
16,33C133,38.4992852,-106.0229775,,,,
17,33C3AC,38.49796317,-106.015291,,,,
18,33C52D,38.50104752,-106.0198131,,,,
19,33C6D3,38.49635414,-106.0232525,,,,
20,33CB39,38.50087023,-106.0245087,38.500828,-106.019015,,
21,33D05D,38.49801033,-106.0198908,,,,
22,33D129,38.4946883,-106.0221318,,,,
23,362DE4,38.49943056,-106.014175,,,,
24,363668,38.50434395,-106.0177016,,,,
25,363C1C,38.50425493,-106.0157053,,,,
26,364729,38.49782438,-106.0128776,,,38.502036,-106.014732
27,36488F,38.49651373,-106.0166262,,,,
28,364BE5,38.49329617,-106.0163927,,,,
29,36544F,38.49303758,-106.0229347,,,,
30,36570F,38.502565,-106.0233528,,,,
31,365EE4,38.49202433,-106.025189,38.502021,-106.016452,,
32,365F9F,38.49326777,-106.0258098,38.503184,-106.017328,,
33,366543,38.49337264,-106.0186679,,,,
34,3665FD,38.4917364,-106.0152654,,,38.500858,-106.015575
35,3669DC,38.49488618,-106.0151312,,,38.49968,-106.016419
36,366BD9,38.50414246,-106.0198661,,,,
37,366CDF,38.50260467,-106.0161656,,,,
38,366E3B,38.49480088,-106.0243324,38.501991,-106.019892,,
39,366E48,38.49945574,-106.0255068,38.502006,-106.018172,,
40,367ABB,38.50097186,-106.0151845,,,,
41,367B31,38.49326222,-106.0139822,,,38.500872,-106.013855
42,367DDB,38.49642067,-106.0141085,,,38.499694,-106.014699
43,367ECD,38.50257425,-106.0145971,,,,
44,36801C,38.49992335,-106.0165676,,,,
45,368398,38.49796163,-106.0243189,38.500843,-106.017295,,
46,36886F,38.50261387,-106.0209836,,,,
47,368927,38.50244184,-106.0186777,,,,
48,3383CA,38.496325,-106.0255,38.503169,-106.019048,,
