"","NodeId","lat","lng"
"1","3383ca",38.4963287272727,-106.025538181818
"2","33861a",38.4963097292639,-106.018674168761
"3","338629",38.4920476859972,-106.017449346535
"4","33885a",38.5011169977494,-106.017557548387
"5","338fb0",38.4919497064846,-106.019544354949
"6","3398d3",38.4994941205519,-106.020994608569
"7","33a63b",38.4993864654003,-106.018678078697
"8","33a73f",38.504169248366,-106.02222308061
"9","33a85e",38.5010544243395,-106.022087333867
"10","33af24",38.4921413491961,-106.022212030868
"11","33b1ef",38.4979076991973,-106.022055073933
"12","33b1fe",38.4977976687712,-106.017532052453
"13","33b32d",38.496435146283,-106.02088877506
"14","33bcb0",38.4931035054545,-106.020964363636
"15","33bcf5",38.4949064207254,-106.020492656304
"16","33be76",38.4947897894737,-106.017515864662
"17","33c133",38.4992874076923,-106.022973453846
"18","33c3ac",38.4979788269019,-106.015272576259
"19","33c52d",38.5010486981211,-106.019808694781
"20","33c6d3",38.4963454795613,-106.023233942173
"21","33cb39",38.5008690058577,-106.024494701255
"22","33d05d",38.6446861742056,-96.9497159476635
"23","33d129",38.4946477073171,-106.022118907317
"24","362de4",38.4994392365735,-106.014175215269
"25","363668",38.5043481042146,-106.017688331034
"26","363c1c",38.5042605807151,-106.015708004334
"27","364729",38.4978344885765,-106.012881234446
"28","36488f",38.4965146919771,-106.016619381089
"29","364be5",38.4932965997582,-106.016388885127
"30","36544f",38.4930474424112,-106.02291755436
"31","36570f",38.5025687397035,-106.023352583196
"32","365ee4",38.4920332558984,-106.025179208711
"33","365f9f",38.4932785649623,-106.025812667225
"34","366543",38.4933695961783,-106.01866642293
"35","3665fd",38.4917380448878,-106.015253030281
"36","3669dc",38.4948826777741,-106.015135685438
"37","366bd9",38.5041434838167,-106.019869750315
"38","366cdf",38.5025887977012,-106.016197586207
"39","366e3b",38.4948004747425,-106.024341543894
"40","366e48",38.4994407532957,-106.025506716886
"41","367abb",38.5010017498081,-106.015197396777
"42","367b31",38.4932564853387,-106.01398431547
"43","367ddb",38.4964090830565,-106.014105055149
"44","367ecd",38.5025835205047,-106.01460152429
"45","36801c",38.4999158902983,-106.016566269455
"46","368398",38.4979476192714,-106.024333151586
"47","36886f",38.5026079948871,-106.0209784951
"48","368927",38.5024562829636,-106.018680184177
